id;loantime;returntime;status;note;user_id;book_id
1;2022-03-17T22:45:05;2022-03-17T19:08:10;RETURNED_DAMAGED;Money olive moratorium;1;1
2;2022-03-17T19:03:16;2022-03-17T18:41:31;RETURNED_DAMAGED;Berkshire payment Wooden;2;2
3;2022-03-18T06:16:13;2022-03-18T01:59:25;RETURNED;Streets;3;3
4;2022-03-17T23:57:24;2022-03-18T07:41:44;RETURNED_DAMAGED;interface Meadow infrastructures;4;4
5;2022-03-18T14:16:03;2022-03-17T18:06:35;LOST;utilize infrastructures interface;5;5
6;2022-03-18T00:02:26;2022-03-18T07:00:44;RETURNED_DAMAGED;Supervisor Solutions;6;6
7;2022-03-18T05:09:11;2022-03-18T03:15:38;RETURNED_DAMAGED;Cambridgeshire fuchsia;7;7
8;2022-03-18T07:13:21;2022-03-18T02:19:42;RETURNED_DAMAGED;Tuna Assurance quantifying;8;8
9;2022-03-17T18:02:06;2022-03-18T01:38:05;LOST;Gloves Cambridgeshire redefine;9;9
10;2022-03-17T17:26:25;2022-03-18T14:03:52;LOST;Indian relationships;10;10
